2.16.82.0,,2.16.83.255,,GTT Communications
84.116.130.145,,84.116.130.146,,Liberty Global 
84.116.134.77,,84.116.134.78,,Liberty Global 
84.116.134.81,,84.116.134.82,,Liberty Global 
84.116.134.85,,84.116.134.86,,Liberty Global 
84.116.134.93,,84.116.134.94,,Liberty Global 
84.116.134.125,,84.116.134.126,,Liberty Global 
84.116.134.129,,84.116.134.130,,Liberty Global 
84.116.134.145,,84.116.134.146,,Liberty Global 
84.116.134.173,,84.116.134.174,,Liberty Global 
84.116.134.177,,84.116.134.178,,Liberty Global 
84.116.134.205,,84.116.134.206,,Liberty Global 
84.116.134.209,,84.116.134.210,,Liberty Global 
84.116.134.233,,84.116.134.234,,Liberty Global 
84.116.137.73,,84.116.137.73,,Liberty Global 
84.116.140.97,,84.116.140.98,,Liberty Global 
84.116.140.101,,84.116.140.102,,Liberty Global 
84.116.140.105,,84.116.140.106,,Liberty Global 
84.116.140.149,,84.116.140.150,,Liberty Global 
84.116.184.2,,84.116.184.2,,Liberty Global 
84.116.184.6,,84.116.184.6,,Liberty Global 
84.116.184.9,,84.116.184.9,,Liberty Global 
84.116.184.13,,84.116.184.13,,Liberty Global 
84.116.184.17,,84.116.184.17,,Liberty Global 
84.116.184.21,,84.116.184.21,,Liberty Global 
84.116.184.25,,84.116.184.25,,Liberty Global 
84.116.184.29,,84.116.184.29,,Liberty Global 
84.116.184.33,,84.116.184.33,,Liberty Global 
84.116.184.37,,84.116.184.37,,Liberty Global 
84.116.184.49,,84.116.184.50,,Liberty Global 
84.116.184.53,,84.116.184.53,,Liberty Global 
84.116.184.57,,84.116.184.57,,Liberty Global 
84.116.184.61,,84.116.184.61,,Liberty Global 
84.116.184.65,,84.116.184.65,,Liberty Global 
84.116.184.69,,84.116.184.69,,Liberty Global 
84.116.184.73,,84.116.184.73,,Liberty Global 
84.116.184.77,,84.116.184.77,,Liberty Global 
84.116.184.82,,84.116.184.82,,Liberty Global 
84.116.184.86,,84.116.184.86,,Liberty Global 
84.116.184.89,,84.116.184.89,,Liberty Global 
84.116.184.93,,84.116.184.93,,Liberty Global 
84.116.184.97,,84.116.184.97,,Liberty Global 
84.116.184.101,,84.116.184.101,,Liberty Global 
84.116.184.105,,84.116.184.105,,Liberty Global 
84.116.184.109,,84.116.184.109,,Liberty Global 
84.116.184.113,,84.116.184.113,,Liberty Global 
84.116.184.117,,84.116.184.117,,Liberty Global 
84.116.184.121,,84.116.184.121,,Liberty Global 
84.116.184.125,,84.116.184.125,,Liberty Global 
84.116.184.137,,84.116.184.137,,Liberty Global 
84.116.184.141,,84.116.184.142,,Liberty Global 
84.116.236.40,,84.116.236.41,,Liberty Global 
84.116.238.1,,84.116.238.2,,Liberty Global 
84.116.238.6,,84.116.238.6,,Liberty Global 
84.116.238.10,,84.116.238.10,,Liberty Global 
84.116.238.14,,84.116.238.14,,Liberty Global 
84.116.238.18,,84.116.238.18,,Liberty Global 
84.116.238.21,,84.116.238.21,,Liberty Global 
84.116.238.26,,84.116.238.26,,Liberty Global 
84.116.238.30,,84.116.238.30,,Liberty Global 
84.116.238.34,,84.116.238.34,,Liberty Global 
84.116.238.37,,84.116.238.38,,Liberty Global 
84.116.238.41,,84.116.238.42,,Liberty Global 
84.116.238.45,,84.116.238.46,,Liberty Global 
84.116.238.50,,84.116.238.50,,Liberty Global 
84.116.238.54,,84.116.238.54,,Liberty Global 
84.116.238.57,,84.116.238.58,,Liberty Global 
84.116.238.61,,84.116.238.62,,Liberty Global 
84.116.238.65,,84.116.238.66,,Liberty Global 
84.116.238.69,,84.116.238.70,,Liberty Global 
84.116.238.73,,84.116.238.74,,Liberty Global 
84.116.238.77,,84.116.238.78,,Liberty Global 
84.116.238.81,,84.116.238.82,,Liberty Global 
84.116.238.85,,84.116.238.86,,Liberty Global 
84.116.238.89,,84.116.238.90,,Liberty Global 
84.116.238.93,,84.116.238.94,,Liberty Global 
84.116.238.97,,84.116.238.98,,Liberty Global 
84.116.238.101,,84.116.238.101,,Liberty Global 
84.116.238.105,,84.116.238.106,,Liberty Global 
84.116.238.109,,84.116.238.110,,Liberty Global 
84.116.238.114,,84.116.238.114,,Liberty Global 
84.116.238.118,,84.116.238.118,,Liberty Global 
84.116.238.121,,84.116.238.122,,Liberty Global 
84.116.238.125,,84.116.238.126,,Liberty Global 
84.116.238.130,,84.116.238.130,,Liberty Global 
84.116.238.134,,84.116.238.134,,Liberty Global 
84.116.238.138,,84.116.238.138,,Liberty Global 
84.116.238.142,,84.116.238.142,,Liberty Global 
84.116.238.145,,84.116.238.145,,Liberty Global 
84.116.238.149,,84.116.238.150,,Liberty Global 
84.116.238.153,,84.116.238.154,,Liberty Global 
84.116.238.158,,84.116.238.158,,Liberty Global 
84.116.238.161,,84.116.238.162,,Liberty Global 
84.116.238.165,,84.116.238.166,,Liberty Global 
84.116.238.170,,84.116.238.170,,Liberty Global 
84.116.238.174,,84.116.238.174,,Liberty Global 
84.116.238.177,,84.116.238.178,,Liberty Global 
84.116.238.181,,84.116.238.182,,Liberty Global 
84.116.238.186,,84.116.238.186,,Liberty Global 
84.116.238.190,,84.116.238.190,,Liberty Global 
84.116.238.194,,84.116.238.194,,Liberty Global 
84.116.238.198,,84.116.238.198,,Liberty Global 
84.116.238.202,,84.116.238.202,,Liberty Global 
84.116.238.205,,84.116.238.206,,Liberty Global 
84.116.238.209,,84.116.238.210,,Liberty Global 
84.116.238.213,,84.116.238.214,,Liberty Global 
84.116.238.218,,84.116.238.218,,Liberty Global 
84.116.238.222,,84.116.238.222,,Liberty Global 
84.116.238.226,,84.116.238.226,,Liberty Global 
84.116.238.230,,84.116.238.230,,Liberty Global 
84.116.238.238,,84.116.238.238,,Liberty Global 
84.116.238.242,,84.116.238.242,,Liberty Global 
84.116.238.246,,84.116.238.246,,Liberty Global 
84.116.238.254,,84.116.238.254,,Liberty Global 
84.116.239.134,,84.116.239.134,,Liberty Global 
84.116.239.206,,84.116.239.206,,Liberty Global 
84.116.239.210,,84.116.239.210,,Liberty Global 
84.203.0.0,,84.203.255.255,,Digiweb
84.207.243.0,,84.207.243.0,,euNetworks 
84.207.243.127,,84.207.243.128,,euNetworks 
84.207.243.143,,84.207.243.144,,euNetworks 
84.207.243.159,,84.207.243.160,,euNetworks 
84.207.243.175,,84.207.243.175,,euNetworks 
84.207.244.0,,84.207.244.15,,euNetworks 
84.233.150.0,,84.233.150.8,,Interoute Communications 
84.233.150.10,,84.233.150.63,,Interoute Communications 
84.233.150.72,,84.233.150.79,,Interoute Communications 
84.233.150.96,,84.233.150.111,,Interoute Communications 
84.238.132.0,,84.238.133.255,,DiViNetworks 
84.247.27.0,,84.247.27.255,,GTT Communications 
84.247.53.0,,84.247.53.255,,GTT Communications 
85.91.0.0,,85.91.31.255,,Magnet Networks 
85.118.152.0,,85.118.152.255,,Vodafone 
85.134.128.0,,85.134.255.255,,Imagine Group 
85.159.16.0,,85.159.23.255,,Vistatec 
85.184.15.0,,85.184.15.255,,GTT Communications 
85.205.250.0,,85.205.251.255,,Vodafone 
86.40.0.0,,86.43.13.240,,Eircom
86.43.13.242,,86.43.13.242,,Eircom
86.43.13.244,,86.47.61.252,,Eircom
86.47.61.254,,86.47.255.255,,Eircom
86.104.134.0,,86.104.134.255,,GTT Communications 
86.105.150.0,,86.105.150.255,,GTT Communications 
86.106.75.0,,86.106.75.255,,Telecity Group 
87.32.0.0,,87.47.255.255,,HEAnet 
87.192.0.0,,87.192.100.159,,Imagine Communications
87.192.100.176,,87.192.228.135,,Imagine Communications
87.192.228.160,,87.192.228.175,,Imagine Communications
87.192.228.184,,87.192.250.95,,Imagine Communications
87.192.250.104,,87.192.255.255,,Imagine Communications
87.198.0.0,,87.198.255.255,,Magnet Networks 
87.232.0.0,,87.232.255.255,,Imagine Communications
87.238.77.0,,87.238.77.255,,Magrathea Telecommunications 
87.238.80.0,,87.238.87.255,,Amazon
87.248.97.0,,87.248.103.255,,Yahoo! 
87.248.104.1,,87.248.104.8,,Yahoo!
87.248.108.21,,87.248.108.25,,Yahoo!
87.248.108.29,,87.248.108.30,,Yahoo!
87.248.108.38,,87.248.108.41,,Yahoo!
87.248.110.1,,87.248.110.1,,Yahoo!
87.248.110.6,,87.248.110.126,,Yahoo!
87.248.110.129,,87.248.110.129,,Yahoo!
87.248.110.133,,87.248.110.190,,Yahoo!
87.248.110.193,,87.248.110.193,,Yahoo!
87.248.110.197,,87.248.110.197,,Yahoo!
87.248.110.200,,87.248.110.223,,Yahoo!
87.248.110.226,,87.248.110.226,,Yahoo!
87.248.110.228,,87.248.110.254,,Yahoo!
87.248.114.0,,87.248.119.255,,Yahoo!
87.248.215.193,,87.248.215.194,,Limelight Networks
87.248.215.206,,87.248.215.206,,Limelight Networks
87.248.215.249,,87.248.215.254,,Limelight Networks
87.252.221.128,,87.252.221.255,,Telecity Group 
88.81.96.0,,88.81.127.255,,Western Broadband Networks 
88.87.160.0,,88.87.191.255,,EoBo
88.98.168.160,,88.98.168.167,,G3 Comms 
88.151.0.0,,88.151.0.15,,Fulnett 
88.151.0.128,,88.151.0.159,,Fulnett 
88.151.1.0,,88.151.1.15,,Fulnett 
88.151.2.0,,88.151.2.31,,Fulnett 
88.151.24.0,,88.151.31.255,,Permanet 
88.151.80.0,,88.151.87.255,,Fastcom Broadband 
88.202.104.96,,88.202.104.111,,Skylogic 
88.202.108.96,,88.202.108.111,,Skylogic 
88.205.100.112,,88.205.100.127,,HKN 
88.205.101.112,,88.205.101.119,,HKN 
88.205.102.192,,88.205.102.199,,HKN 
88.205.105.160,,88.205.105.175,,HKN 
88.205.106.64,,88.205.106.79,,HKN 
88.210.133.0,,88.210.134.63,,Avanti Broadband 
88.210.134.96,,88.210.134.127,,Avanti Broadband 
88.210.136.192,,88.210.136.223,,Avanti Broadband 
88.210.138.0,,88.210.138.255,,Avanti Broadband 
88.210.154.0,,88.210.154.255,,Avanti Broadband 
88.221.192.0,,88.221.199.255,,GTT Communications 
88.221.212.0,,88.221.212.255,,Akamai International 
89.16.64.0,,89.16.95.255,,Ripple Communications
89.18.64.0,,89.18.95.255,,Fast Wireless Internet 
89.19.64.0,,89.19.95.255,,Vodafone 
89.22.51.0,,89.22.51.255,,Empathy Marketing 
89.28.176.0,,89.28.183.255,,Ergo Services 
89.28.234.48,,89.28.234.55,,Nasstar South 
89.28.234.64,,89.28.234.71,,Nasstar South 
89.28.234.136,,89.28.234.143,,Nasstar South 
89.28.234.184,,89.28.234.191,,Nasstar South 
89.28.234.248,,89.28.234.255,,Nasstar South 
89.28.235.8,,89.28.235.31,,Nasstar South 
89.28.235.40,,89.28.235.47,,Nasstar South 
89.28.235.56,,89.28.235.71,,Nasstar South 
89.30.9.39,,89.30.9.39,,BSO Network Solutions 
89.31.168.0,,89.31.175.255,,Cork Internet Exchange 
89.33.1.0,,89.33.1.255,,GTT Communications 
89.37.138.0,,89.37.138.255,,GTT Communications 
89.44.114.0,,89.44.114.255,,GTT Communications 
89.47.183.0,,89.47.183.255,,Telecity Group 
89.100.0.0,,89.101.137.53,,Liberty Global 
89.101.137.55,,89.101.161.255,,Liberty Global 
89.101.163.0,,89.101.255.255,,Liberty Global 
89.106.136.0,,89.106.143.255,,Premier Data Networks 
89.124.0.0,,89.127.255.255,,Imagine Communications 
89.149.144.0,,89.149.144.255,,GTT Communications 
89.149.149.16,,89.149.149.31,,GTT Communications 
89.149.149.88,,89.149.149.95,,GTT Communications 
89.149.149.128,,89.149.149.135,,GTT Communications 
89.149.149.144,,89.149.149.151,,GTT Communications 
89.149.149.220,,89.149.149.255,,GTT Communications 
89.149.151.0,,89.149.151.255,,GTT Communications 
89.149.156.0,,89.149.156.31,,GTT Communications 
89.149.156.64,,89.149.156.95,,GTT Communications 
89.149.164.0,,89.149.164.31,,GTT Communications 
89.149.164.160,,89.149.164.239,,GTT Communications 
89.149.166.0,,89.149.167.255,,GTT Communications 
89.149.170.0,,89.149.170.255,,GTT Communications 
89.149.171.32,,89.149.171.255,,GTT Communications 
89.149.172.32,,89.149.172.43,,GTT Communications 
89.149.172.48,,89.149.172.79,,GTT Communications 
89.149.173.120,,89.149.175.255,,GTT Communications 
89.167.128.80,,89.167.128.87,,GTT Communications 
89.167.128.188,,89.167.128.191,,GTT Communications 
89.167.136.0,,89.167.136.63,,Level 3 
89.167.138.64,,89.167.138.127,,Level 3 
89.167.139.96,,89.167.139.111,,Level 3 
89.167.140.0,,89.167.140.255,,Level 3 
89.167.148.0,,89.167.151.255,,Level 3 
89.167.157.0,,89.167.157.255,,Level 3 
89.167.174.0,,89.167.174.255,,Level 3 
89.167.187.0,,89.167.187.255,,Thermeon Worldwide 
89.167.220.0,,89.167.220.255,,Rational FT Services 
89.167.226.0,,89.167.227.255,,Level 3 
89.167.233.0,,89.167.233.255,,Epsilon Interactive 
89.167.241.0,,89.167.241.255,,Level 3 
89.184.32.0,,89.184.63.255,,Ripple Communications 
89.185.128.0,,89.185.128.79,,The Internet Business 
89.185.128.96,,89.185.128.223,,The Internet Business 
89.185.129.32,,89.185.129.47,,The Internet Business 
89.185.129.64,,89.185.130.7,,The Internet Business 
89.185.130.15,,89.185.130.40,,The Internet Business 
89.185.130.42,,89.185.136.239,,The Internet Business 
89.185.136.248,,89.185.137.255,,The Internet Business 
89.185.138.24,,89.185.138.31,,The Internet Business 
89.185.138.112,,89.185.138.127,,The Internet Business 
89.185.138.176,,89.185.139.255,,The Internet Business 
89.185.141.0,,89.185.141.0,,The Internet Business 
89.185.141.17,,89.185.141.95,,The Internet Business 
89.185.141.192,,89.185.141.255,,The Internet Business 
89.185.143.8,,89.185.144.223,,The Internet Business 
89.185.144.240,,89.185.145.119,,The Internet Business 
89.185.145.128,,89.185.146.127,,The Internet Business 
89.185.146.192,,89.185.148.38,,The Internet Business 
89.185.148.40,,89.185.154.63,,The Internet Business 
89.185.154.216,,89.185.154.223,,The Internet Business 
89.185.154.232,,89.185.157.0,,The Internet Business 
89.185.157.64,,89.185.157.79,,The Internet Business 
89.185.157.144,,89.185.157.247,,The Internet Business 
89.185.158.32,,89.185.158.127,,The Internet Business 
89.185.158.144,,89.185.158.191,,The Internet Business 
89.185.158.224,,89.185.158.239,,The Internet Business 
89.185.159.128,,89.185.159.255,,The Internet Business 
89.191.32.0,,89.191.63.255,,Interfusion Networks 
89.202.180.0,,89.202.180.255,,Interoute Communications 
89.204.160.0,,89.204.253.215,,Three Ireland 
89.204.253.224,,89.204.253.231,,Three Ireland 
89.204.253.240,,89.204.255.255,,Three Ireland 
89.207.19.160,,89.207.19.175,,Conversant 
89.207.56.0,,89.207.63.255,,Radio Telefis Eireann
89.207.170.0,,89.207.170.255,,iomart Cloud Services 
89.234.64.0,,89.234.127.255,,Digiweb 
89.238.191.48,,89.238.191.55,,M247 
90.155.118.152,,90.155.118.159,,Novosco 
90.155.119.80,,90.155.119.87,,Novosco 
90.155.123.48,,90.155.123.63,,Novosco 
90.155.124.48,,90.155.124.55,,Novosco 
90.155.125.128,,90.155.125.135,,Novosco 
90.155.125.216,,90.155.125.223,,Novosco 
90.155.125.248,,90.155.125.255,,Novosco 
91.102.80.0,,91.102.87.255,,Lighthouse Networks 
91.103.0.0,,91.103.7.255,,Cork Internet Exchange 
91.123.224.0,,91.123.239.255,,HEAnet 
91.142.96.0,,91.142.111.255,,Nova Networks 
91.142.224.0,,91.142.239.255,,Rapid Broadband 
91.185.174.96,,91.185.174.127,,SunGard Availability Services 
91.189.64.0,,91.189.71.255,,Airwire 
91.190.218.0,,91.190.220.255,,Skype Communications 
91.193.188.0,,91.193.191.255,,HEAnet
91.198.24.0,,91.198.24.255,,Trivago 
91.198.64.0,,91.198.64.255,,Irish Stock Exchange 
91.198.244.0,,91.198.244.255,,East Cork Broadband
91.199.74.0,,91.199.74.255,,Vodafone 
91.199.213.0,,91.199.213.255,,MCI Communications   
91.209.10.0,,91.209.10.255,,Red Hat
91.209.74.0,,91.209.74.255,,Abtran 
91.209.106.0,,91.209.106.255,,Deloitte & Touche
91.210.232.0,,91.210.235.255,,Blacknight Internet Solutions
91.211.96.0,,91.211.99.255,,Rational Services
91.212.88.0,,91.212.88.255,,Carrierweb Ireland 
91.213.73.0,,91.213.73.255,,Cork Internet Exchange 
91.214.173.0,,91.214.173.255,,DAA 
91.216.6.0,,91.216.6.255,,Ninetreehill Broadband
91.216.31.0,,91.216.31.255,,Telefonica Digital 
91.216.236.0,,91.216.236.255,,Leeson Telecom 
91.216.241.0,,91.216.241.255,,Leeson Telecom 
91.217.88.0,,91.217.89.255,,Fexco
91.220.45.0,,91.220.45.255,,Hibernia Services 
91.220.224.0,,91.220.224.255,,Cab Call Communications 
91.223.9.0,,91.223.9.255,,Cork Internet Exchange 
91.223.87.0,,91.223.87.255,,Ivertec
91.225.248.0,,91.225.251.255,,LinkedIn 
91.228.24.0,,91.228.25.255,,EoBo
91.229.192.0,,91.229.192.255,,Verizon 
91.235.96.0,,91.235.99.255,,Arden Broadband 
91.235.117.0,,91.235.117.255,,AerCap
92.39.176.0,,92.39.191.255,,Digiweb 
92.51.192.0,,92.51.255.255,,Digiweb 
92.60.192.0,,92.60.207.255,,Rapid Broadband 
92.61.192.0,,92.61.207.255,,Crossan CableComm 
92.122.116.0,,92.122.121.255,,GTT Communications 
92.123.188.0,,92.123.188.255,,Akamai International 
92.123.228.0,,92.123.231.255,,GTT Communications 
92.235.0.0,,92.235.63.255,,Liberty Global 
92.250.224.0,,92.250.225.255,,Ses Astra 
92.250.233.0,,92.250.233.255,,Ses Astra 
92.251.128.0,,92.251.255.255,,Three Ireland 
93.89.240.0,,93.89.255.255,,Airwire 
93.92.8.0,,93.92.15.255,,Skytel Networks 
93.94.41.83,,93.94.41.83,,eBay
93.94.41.115,,93.94.41.115,,eBay
93.94.112.0,,93.94.119.255,,Interfusion Networks 
93.95.80.0,,93.95.87.255,,Airwave Internet
93.107.0.0,,93.107.255.255,,Vodafone 
93.113.220.0,,93.113.220.255,,GTT Communications 
93.174.168.0,,93.174.175.255,,Synchronoss Software 
93.187.16.56,,93.187.16.63,,Masergy Communications
93.187.21.16,,93.187.21.19,,Masergy Communications
93.187.21.36,,93.187.21.39,,Masergy Communications
93.191.144.0,,93.191.151.255,,Epsilon Interactive 
94.3.98.0,,94.3.98.255,,Sky UK 
94.31.0.0,,94.31.0.127,,Zayo Bandwidth
94.31.52.144,,94.31.52.151,,Zayo Bandwidth
94.102.192.0,,94.102.207.255,,Cogent Communications
94.103.29.20,,94.103.29.21,,Equinix 
94.103.29.23,,94.103.29.27,,Equinix 
94.119.3.56,,94.119.3.63,,The Cloud Networks 
94.126.32.0,,94.126.32.0,,Astralus 
94.126.33.0,,94.126.33.255,,GTT Communications 
94.176.4.0,,94.176.4.255,,GTT Communications 
94.177.62.0,,94.177.62.255,,GTT Communications 
94.198.120.0,,94.198.127.255,,Aptus
94.199.224.0,,94.199.227.255,,QuestZones 
94.230.96.0,,94.230.111.255,,Lighthouse Networks 
94.245.77.46,,94.245.77.46,,Microsoft 
94.245.77.54,,94.245.77.54,,Microsoft 
94.245.88.0,,94.245.95.255,,Microsoft 
94.245.104.0,,94.245.111.255,,Microsoft 
94.245.114.1,,94.245.114.4,,Microsoft 
94.245.114.33,,94.245.114.36,,Microsoft 
94.245.117.96,,94.245.117.127,,Microsoft 
94.245.118.0,,94.245.118.31,,Microsoft 
94.245.118.65,,94.245.118.68,,Microsoft 
94.245.118.97,,94.245.118.100,,Microsoft 
94.245.118.129,,94.245.118.132,,Microsoft 
94.245.120.128,,94.245.120.143,,Microsoft 
94.245.122.0,,94.245.122.255,,Microsoft 
94.245.123.144,,94.245.123.159,,Microsoft 
94.245.123.176,,94.245.123.191,,Microsoft 
94.247.48.0,,94.247.55.255,,Skytel Networks 
94.247.82.168,,94.247.82.175,,G3 Comms 
94.247.82.192,,94.247.82.223,,G3 Comms 
95.44.0.0,,95.45.255.255,,Eircom
95.60.82.71,,95.60.82.72,,Vodafone
95.83.192.0,,95.83.225.223,,Three Ireland 
95.83.225.232,,95.83.255.255,,Three Ireland 
95.101.120.0,,95.101.123.255,,GTT Communications 
95.128.77.200,,95.128.77.203,,Celeonet 
95.128.197.0,,95.128.197.255,,Premiere Global Services
95.129.129.0,,95.129.129.15,,Comnet International
95.142.112.0,,95.142.127.255,,Cork Community Broadband 
95.210.52.0,,95.210.54.255,,Skylogic 
96.45.200.64,,96.45.200.95,,Beanfield Technologies 
96.45.207.192,,96.45.207.207,,Beanfield Technologies 
104.37.4.0,,104.37.4.255,,Voxility 
104.41.64.0,,104.41.127.255,,Microsoft 
104.41.192.0,,104.41.255.255,,Microsoft 
104.44.4.145,,104.44.4.145,,Microsoft 
104.44.4.227,,104.44.4.227,,Microsoft 
104.44.4.229,,104.44.4.229,,Microsoft 
104.44.4.233,,104.44.4.233,,Microsoft 
104.44.8.219,,104.44.8.219,,Microsoft 
104.44.8.221,,104.44.8.221,,Microsoft 
104.44.8.223,,104.44.8.223,,Microsoft 
104.44.8.225,,104.44.8.225,,Microsoft 
104.44.9.149,,104.44.9.149,,Microsoft 
104.44.9.151,,104.44.9.151,,Microsoft 
104.44.9.153,,104.44.9.153,,Microsoft 
104.44.9.155,,104.44.9.155,,Microsoft 
104.44.88.64,,104.44.88.95,,Microsoft 
104.44.91.64,,104.44.91.95,,Microsoft 
104.44.92.192,,104.44.92.223,,Microsoft 
104.44.94.32,,104.44.94.47,,Microsoft 
104.44.224.79,,104.44.224.79,,Microsoft 
104.44.224.210,,104.44.224.213,,Microsoft 
104.44.225.169,,104.44.225.169,,Microsoft 
104.44.225.172,,104.44.225.173,,Microsoft 
104.44.225.175,,104.44.225.175,,Microsoft 
104.44.227.3,,104.44.227.3,,Microsoft 
104.45.80.0,,104.45.127.255,,Microsoft 
104.46.8.0,,104.46.15.255,,Microsoft 
104.46.64.0,,104.46.95.255,,Microsoft 
104.47.20.0,,104.47.20.255,,Microsoft 
104.47.218.0,,104.47.219.255,,Microsoft 
104.132.8.0,,104.132.8.255,,Google 
104.132.169.0,,104.132.170.255,,Google 
104.132.227.0,,104.132.227.255,,Google 
104.133.12.0,,104.133.12.255,,Google 
104.135.224.0,,104.135.255.255,,Google 
109.70.208.0,,109.70.215.255,,Interfusion Networks 
109.76.0.0,,109.79.255.255,,Vodafone 
109.106.96.0,,109.106.127.255,,Ripple Communications 
109.125.0.0,,109.125.63.255,,Meteor
109.202.115.0,,109.202.115.31,,Continent 8 
109.202.115.64,,109.202.115.255,,Continent 8 
109.202.118.80,,109.202.118.95,,Continent 8 
109.202.118.112,,109.202.118.119,,Continent 8 
109.202.118.128,,109.202.118.191,,Continent 8 
109.202.118.224,,109.202.118.255,,Continent 8 
109.234.96.0,,109.234.103.255,,Adelphi Net1 
109.236.8.0,,109.236.11.255,,ITnet 
109.236.14.0,,109.236.14.255,,ITnet 
109.255.0.0,,109.255.255.255,,Liberty Global
119.160.250.5,,119.160.250.6,,Internet Content Provider
128.90.22.0,,128.90.22.255,,Powerhouse Management  
130.117.0.81,,130.117.0.82,,Cogent Communications
130.117.0.85,,130.117.0.86,,Cogent Communications
130.117.2.229,,130.117.2.230,,Cogent Communications
130.117.3.194,,130.117.3.194,,Cogent Communications
130.117.48.10,,130.117.48.10,,Cogent Communications
130.117.254.168,,130.117.254.175,,Cogent Communications
131.253.6.0,,131.253.6.255,,Microsoft 
131.253.12.72,,131.253.12.79,,Microsoft 
131.253.13.108,,131.253.13.111,,Microsoft 
131.253.15.144,,131.253.15.159,,Microsoft 
131.253.37.0,,131.253.37.255,,Microsoft 
131.253.38.104,,131.253.38.111,,Microsoft 
134.226.0.0,,134.226.255.255,,HEAnet 
136.22.118.96,,136.22.118.103,,Google 
136.22.119.96,,136.22.119.103,,Google 
136.22.122.128,,136.22.122.135,,Google 
136.22.123.128,,136.22.123.135,,Google 
136.144.25.0,,136.144.25.255,,GTT Communications 
136.201.0.0,,136.201.255.255,,HEAnet 
136.206.0.0,,136.206.255.255,,HEAnet 
137.43.0.0,,137.43.255.255,,University College Dublin
137.116.224.0,,137.116.255.255,,Microsoft 
137.135.128.0,,137.135.255.255,,Microsoft 
137.191.0.0,,137.191.255.255,,Irish Defence Forces
137.223.0.0,,137.223.21.255,,Siemens 
137.223.23.0,,137.223.24.255,,Siemens 
137.223.26.0,,137.223.36.255,,Siemens 
137.223.38.0,,137.223.41.255,,Siemens 
137.223.43.0,,137.223.58.255,,Siemens 
137.223.60.0,,137.223.83.255,,Siemens 
137.223.85.0,,137.223.92.255,,Siemens 
137.223.94.0,,137.223.103.255,,Siemens 
137.223.105.0,,137.223.107.255,,Siemens 
137.223.109.0,,137.223.109.255,,Siemens 
137.223.111.0,,137.223.122.255,,Siemens 
137.223.125.0,,137.223.152.255,,Siemens 
137.223.154.0,,137.223.173.255,,Siemens 
137.223.176.0,,137.223.189.255,,Siemens 
137.223.192.0,,137.223.204.255,,Siemens 
137.223.206.0,,137.223.207.255,,Siemens 
137.223.209.0,,137.223.222.255,,Siemens 
137.223.224.0,,137.223.224.255,,Siemens 
137.223.226.0,,137.223.226.255,,Siemens 
137.223.228.0,,137.223.233.255,,Siemens 
137.223.235.0,,137.223.244.255,,Siemens 
137.223.246.0,,137.223.255.255,,Siemens 
138.91.48.0,,138.91.63.255,,Microsoft 
139.81.60.0,,139.81.63.255,,Colocation America 
140.203.0.0,,140.203.255.255,,HEAnet 
141.105.112.0,,141.105.119.255,,Open Source Solutions 
143.47.0.0,,143.47.255.255,,Oracle Svenska 
143.239.0.0,,143.239.255.255,,HEAnet 
144.2.32.0,,144.2.63.255,,VMware  
144.2.240.0,,144.2.247.255,,Leeson Telecom 
144.178.29.64,,144.178.29.79,,Apple 
146.0.48.0,,146.0.55.255,,Hibernia Services 
146.0.126.120,,146.0.126.127,,HL komm Telekommunikations 
146.82.33.245,,146.82.33.246,,Level 3 
146.112.230.0,,146.112.230.255,,OpenDNS 
146.188.0.125,,146.188.0.126,,MCI Communications  
146.188.0.193,,146.188.0.194,,MCI Communications  
146.188.4.9,,146.188.4.10,,MCI Communications  
146.188.4.25,,146.188.4.26,,MCI Communications  
146.188.15.153,,146.188.15.154,,MCI Communications  
146.188.15.165,,146.188.15.166,,MCI Communications  
146.188.15.169,,146.188.15.170,,MCI Communications  
146.188.15.173,,146.188.15.174,,MCI Communications  
146.188.18.65,,146.188.18.65,,MCI Communications  
146.188.18.81,,146.188.18.81,,MCI Communications  
146.188.37.61,,146.188.37.61,,MCI Communications  
146.188.37.109,,146.188.37.109,,MCI Communications  
146.188.37.121,,146.188.37.121,,MCI Communications  
146.188.37.137,,146.188.37.137,,MCI Communications  
146.188.38.121,,146.188.38.121,,MCI Communications  
146.188.66.173,,146.188.66.173,,MCI Communications  
146.188.67.13,,146.188.67.13,,MCI Communications  
146.188.70.45,,146.188.70.45,,MCI Communications  
146.247.40.0,,146.247.45.255,,VMware 
146.247.47.0,,146.247.47.255,,VMware 
147.252.0.0,,147.252.255.255,,HEAnet 
148.252.8.0,,148.252.14.255,,Airspeed Communications 
149.5.32.0,,149.5.32.255,,Model Telecom
149.5.33.9,,149.5.33.9,,Cogent Communications
149.5.33.16,,149.5.33.23,,Cogent Communications
149.5.33.48,,149.5.33.63,,Cogent Communications
149.5.33.65,,149.5.33.65,,Cogent Communications
149.5.33.80,,149.5.33.127,,Cogent Communications
149.5.33.144,,149.5.33.207,,Cogent Communications
149.5.33.225,,149.5.33.225,,Cogent Communications
149.5.33.240,,149.5.44.255,,Cogent Communications
149.5.46.0,,149.5.46.159,,Cogent Communications
149.5.47.0,,149.5.47.255,,Elite Hosts 
149.6.4.1,,149.6.4.1,,Cogent Communications
149.6.4.4,,149.6.4.11,,Cogent Communications
149.6.4.13,,149.6.4.13,,Cogent Communications
